"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,,,"2018-2022",,
"Argentina","Total renewable surface water (10^9 m3/yr)",1962,860.24,"E",,1967,860.24,"E",,1972,860.24,"E",,1977,860.24,"E",,1982,860.24,"E",,1987,860.24,"E",,1992,860.24,"E",,1997,860.24,"E",,2002,860.24,"E",,2007,860.24,"E",,2012,860.24,"E",,2017,860.24,"E",,,,"",
"Argentina","Total renewable groundwater (10^9 m3/yr)",1962,128.0,"E",,1967,128.0,"E",,1972,128.0,"E",,1977,128.0,"E",,1982,128.0,"E",,1987,128.0,"E",,1992,128.0,"E",,1997,128.0,"E",,2002,128.0,"E",,2007,128.0,"E",,2012,128.0,"E",,2017,128.0,"E",,,,"",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,,,"2018-2022",,
"Armenia","Total renewable surface water (10^9 m3/yr)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,4.858,"E",,1997,4.858,"E",,2002,4.858,"E",,2007,4.858,"E",,2012,4.858,"E",,2017,4.858,"E",,,,"",
"Armenia","Total renewable groundwater (10^9 m3/yr)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,4.311,"E",,1997,4.311,"E",,2002,4.311,"E",,2007,4.311,"E",,2012,4.311,"E",,2017,4.311,"E",,,,"",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,,,"2018-2022",,
"Australia","Total renewable surface water (10^9 m3/yr)",1962,440.0,"E",,1967,440.0,"E",,1972,440.0,"E",,1977,440.0,"E",,1982,440.0,"E",,1987,440.0,"E",,1992,440.0,"E",,1997,440.0,"E",,2002,440.0,"E",,2007,440.0,"E",,2012,440.0,"E",,2017,440.0,"E",,,,"",
"Australia","Total renewable groundwater (10^9 m3/yr)",1962,72.0,"E",,1967,72.0,"E",,1972,72.0,"E",,1977,72.0,"E",,1982,72.0,"E",,1987,72.0,"E",,1992,72.0,"E",,1997,72.0,"E",,2002,72.0,"E",,2007,72.0,"E",,2012,72.0,"E",,2017,72.0,"E",,,,"",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,,,"2018-2022",,
"Austria","Total renewable surface water (10^9 m3/yr)",1962,77.7,"E",,1967,77.7,"E",,1972,77.7,"E",,1977,77.7,"E",,1982,77.7,"E",,1987,77.7,"E",,1992,77.7,"E",,1997,77.7,"E",,2002,77.7,"E",,2007,77.7,"E",,2012,77.7,"E",,2017,77.7,"E",,,,"",
"Austria","Total renewable groundwater (10^9 m3/yr)",1962,6.0,"E",,1967,6.0,"E",,1972,6.0,"E",,1977,6.0,"E",,1982,6.0,"E",,1987,6.0,"E",,1992,6.0,"E",,1997,6.0,"E",,2002,6.0,"E",,2007,6.0,"E",,2012,6.0,"E",,2017,6.0,"E",,,,"",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,,,"2018-2022",,
"Azerbaijan","Total renewable surface water (10^9 m3/yr)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,32.515,"E",,1997,32.515,"E",,2002,32.515,"E",,2007,32.515,"E",,2012,32.515,"E",,2017,32.515,"E",,,,"",
"Azerbaijan","Total renewable groundwater (10^9 m3/yr)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,6.51,"E",,1997,6.51,"E",,2002,6.51,"E",,2007,6.51,"E",,2012,6.51,"E",,2017,6.51,"E",,,,"",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,,,"2018-2022",,
